X,Y,osm_id,code,fclass,year
121.5689274,31.2492473,68215773,2110,hospital,2014
121.4294593,31.2200958,68522234,2303,cafe,2014
121.4238459,31.2161761,78625941,2011,embassy,2014
121.580496,31.2416285,100576736,2110,hospital,2014
121.4906432,31.2643385,265719114,2511,convenience,2014
121.4879612,31.2653228,265719846,2005,post_office,2014
121.4956068,31.2630101,265740753,2501,supermarket,2014
121.3718641,31.2100674,266499577,2110,hospital,2014
121.4715203,31.2348143,267195089,2203,cinema,
121.5035113,31.2703282,267197720,2304,pub,2014
121.4450648,31.2104867,267671918,2304,pub,2014
121.4449132,31.2102655,267671919,2304,pub,2014
121.430668,31.1801952,267698311,2543,doityourself,2014
121.5251371,31.3270111,301889814,2005,post_office,2014
121.5337426,31.3232268,301889815,2110,hospital,2014
121.4857464,31.2453317,301889910,2721,attraction,2014
121.533927,31.326034,302041862,2001,police,2014
121.1619517,31.2970611,306422446,2301,restaurant,2014
121.222222,31.3192295,306422585,2401,hotel,2014
121.2168906,31.3175212,322001983,2301,restaurant,2014
121.3035967,31.1634981,323859673,2082,school,2014
121.4535424,31.2438829,338466774,2401,hotel,2014
120.9191439,30.8401115,347204174,2401,hotel,2014
121.5958501,31.2547276,370298229,2401,hotel,2014
121.5744208,31.2155619,393185736,2511,convenience,2014
121.5745164,31.2155794,393821233,2529,beauty_shop,2014
121.5808249,31.2258143,398719248,2511,convenience,2014
121.5824299,31.2438021,398770157,2303,cafe,2014
121.5503809,31.2067953,398828768,2542,bicycle_shop,2014
121.5807277,31.2257952,400432900,2568,laundry,2014
121.5808049,31.2257659,400432901,2602,atm,2014
121.5896159,31.2204821,401464127,2301,restaurant,2014
121.1126408,31.151268,412399534,2401,hotel,2014
121.1123243,31.1500517,413550195,2302,fast_food,2014
121.1118183,31.1514556,413550198,2302,fast_food,2014
121.1082256,31.1606004,413550201,2302,fast_food,2014
121.1083325,31.1501868,413550207,2302,fast_food,2014
121.1083058,31.1504911,413550210,2302,fast_food,2014
121.1199362,31.1514707,413550809,2303,cafe,2014
121.4210464,31.1764748,461788805,2901,toilet,2014
121.5279878,31.3269968,467690367,2301,restaurant,2014
121.5280359,31.3219385,468249726,2501,supermarket,
121.5093648,31.3041669,468826701,2501,supermarket,
121.5096166,31.3045091,468826709,2301,restaurant,
121.5279193,31.3170567,469344440,2302,fast_food,
121.5282451,31.3163384,469344441,2302,fast_food,
121.5514167,31.3165467,471681858,2204,park,
121.4856062,31.2466528,476067673,2401,hotel,2014
121.486602,31.2457869,476068109,2401,hotel,2014
121.4869612,31.2442663,476068699,2723,monument,
121.4861438,31.2461354,476069274,2301,restaurant,2014
121.4859637,31.2410283,476071294,2724,memorial,2014
121.5101915,31.3033436,476072602,2301,restaurant,2014
121.5100285,31.3036223,476072686,2302,fast_food,
121.5093419,31.3019575,476073086,2301,restaurant,2014
121.5334871,31.326671,476074732,2301,restaurant,2014
121.5273062,31.3213679,476075431,2511,convenience,2014
121.4853948,31.2414831,476081313,2721,attraction,2014
121.4855801,31.242325,476082235,2721,attraction,2014
121.4854592,31.2417559,476082363,2721,attraction,2014
121.4855155,31.2419875,476082453,2721,attraction,2014
121.4853362,31.2406912,476082753,2721,attraction,2014
121.4853871,31.2403999,476082989,2721,attraction,
121.4854137,31.2401622,476148697,2721,attraction,2014
121.4854322,31.2399676,476148920,2721,attraction,2014
121.4854885,31.2396328,476149140,2721,attraction,2014
121.485604,31.2390962,476149253,2721,attraction,
121.4856441,31.2386397,476149343,2721,attraction,
121.4857569,31.2380045,476149515,2721,attraction,2014
121.4862961,31.2367496,476149638,2721,attraction,2014
121.4860868,31.2371051,476151005,2721,attraction,2014
121.4859446,31.2373876,476151155,2721,attraction,2014
121.4864622,31.2365093,476151248,2721,attraction,2014
121.486725,31.2361768,476151320,2721,attraction,2014
121.4868862,31.2358621,476151413,2721,attraction,2014
121.487015,31.2355318,476151449,2721,attraction,
121.4856399,31.2464194,476152071,2721,attraction,2014
121.4708539,31.2344239,476682315,2901,toilet,2014
121.4689399,31.2343285,476682321,2901,toilet,2014
121.4853496,31.2411292,476771920,2721,attraction,
121.4723406,31.2372565,476779364,2302,fast_food,2014
121.4717101,31.2367348,476779776,2401,hotel,2014
121.4766473,31.2378562,476781766,2301,restaurant,
121.4763383,31.2377021,476782752,2301,restaurant,2014
121.4769392,31.2379222,476783113,2302,fast_food,
121.4763041,31.2382819,476784282,2301,restaurant,
121.4784413,31.2390745,476784813,2303,cafe,2014
121.4707393,31.2360473,476786676,2302,fast_food,
121.4763976,31.237525,477624445,2401,hotel,2014
121.4779082,31.2392717,477624806,2001,police,2014
121.4714966,31.2378701,477646207,2001,police,2014
121.4843369,31.235962,477649286,2110,hospital,
121.4793244,31.2378187,477655899,2099,public_building,2014
121.4793416,31.2388241,477656553,2515,bookshop,2014
121.4846888,31.2353527,477658416,2601,bank,2014
121.4828179,31.2335548,477659058,2722,museum,
121.4821654,31.2367471,477659663,2001,police,2014
121.478758,31.2362702,477660505,2110,hospital,2014
121.4770585,31.2351033,477661623,2515,bookshop,2014
121.4671879,31.2356245,477665054,2401,hotel,2014
121.4678231,31.2361529,477665151,2401,hotel,2014
